ax,ay,az,accTotal,accChange,label
1.9336,-0.2219,1.5281,2.4745,1.2875,accident
-1.2991,0.4663,-0.0789,1.3825,1.0920,accident
0.7954,0.1064,0.5203,0.9564,0.4261,accident
-1.1587,-0.5073,-0.2292,1.2855,0.3291,accident
-0.1497,0.2004,1.0032,1.0339,0.2516,accident
0.5193,0.1516,0.7092,0.8920,0.1419,accident
-1.7551,1.5684,0.4463,2.3957,1.5037,accident
1.2815,0.1838,0.7432,1.4928,0.9029,accident
0.5303,0.1941,0.6436,0.8562,0.6366,accident
0.5220,0.0796,0.7925,0.9523,0.0961,accident
-1.1116,0.3870,0.4646,1.2654,0.3131,accident
0.2119,-0.4177,1.1213,1.2152,0.0501,accident
-0.0188,0.0847,0.6250,0.6310,0.5842,accident
1.6670,-0.1541,1.4048,2.1854,1.5544,accident
-0.6277,0.4248,0.3516,0.8355,1.3499,accident
0.0713,-0.0940,0.9905,0.9975,0.1620,accident
-1.5942,1.4116,-1.2925,2.4909,1.4935,accident
-0.7581,0.1580,1.3738,1.5770,0.9140,accident
0.2502,0.1313,1.0500,1.0874,0.4896,accident
0.6572,0.0181,1.4517,1.5936,0.5062,accident
-0.7444,0.6875,-0.9827,1.4115,0.1821,accident
1.7358,-0.8904,1.9999,2.7939,1.3823,accident
-0.0374,0.5537,0.7546,0.9367,1.8571,accident
-0.0132,0.1152,1.2766,1.2819,0.3451,accident
0.9731,0.2290,0.5420,1.1372,0.1447,accident
0.0967,0.2107,0.9834,1.0104,0.1268,accident
0.1755,0.2019,0.9253,0.9632,0.0472,accident
-0.4067,-1.4014,0.9236,1.7269,0.7637,accident
-0.2241,0.3430,0.8308,0.9264,0.8006,accident
0.2341,0.1262,1.1782,1.2079,0.2815,accident
0.2166,0.1875,0.8091,0.8583,0.3496,accident
-0.0046,0.0891,0.9790,0.9831,0.1248,accident
0.3801,-0.0867,1.0496,1.1196,0.1366,accident
0.4373,0.0718,1.1182,1.2028,0.0831,accident
-2.0000,1.9999,-2.0000,3.4641,2.2613,accident
0.2329,-0.8225,0.6680,1.0849,2.3792,accident
-0.7080,0.9602,0.1794,1.2064,0.1216,accident
0.4084,-0.3103,1.1611,1.2694,0.0630,accident
0.2510,0.0825,0.9749,1.0100,0.2594,accident
0.4265,-0.1992,1.0771,1.1755,0.1655,accident
0.4812,-0.1914,0.9673,1.0972,0.0783,accident
-2.0000,1.9999,-1.9246,3.4211,2.3239,accident
-0.7585,0.2590,0.4116,0.9011,2.5200,accident
0.4888,-0.2480,1.1089,1.2370,0.3359,accident
0.2510,-0.0679,0.8872,0.9245,0.3124,accident
0.4167,-0.4407,1.1260,1.2789,0.3544,accident
0.5830,0.8984,1.6506,1.9677,0.6887,accident
1.9999,-2.0000,1.9999,3.4640,1.4964,accident
0.1462,0.5315,0.4280,0.6979,2.7662,accident
0.5039,-0.4973,1.2222,1.4124,0.7145,accident
-0.3389,0.7585,0.3389,0.8972,0.5152,accident
1.9999,-1.7036,1.9999,3.3018,2.4045,accident
-0.2183,0.3623,0.7000,0.8178,2.4840,accident
0.4426,-0.3223,1.1079,1.2358,0.4180,accident
-0.6704,0.5522,-0.0781,0.8721,0.3637,accident
0.1382,-0.0479,0.6392,0.6557,0.2164,accident
-0.1982,-1.5930,1.4531,2.1653,1.5096,accident
-0.3442,0.9143,-0.3020,1.0226,1.1427,accident
1.6853,-1.1890,1.9999,2.8729,1.8503,accident
-0.8276,0.5806,0.3552,1.0716,1.8014,accident
0.9998,-0.7031,1.8945,2.2546,1.1830,accident
