ax,ay,az,accTotal,accChange,label
0.3613,-0.0029,0.8970,0.9670,0.0181,normal
0.5383,-0.1572,0.8938,1.0552,0.0882,normal
0.8821,-0.1665,0.5916,1.0750,0.0199,normal
0.8928,-0.0872,0.1772,0.9144,0.1606,normal
1.0022,-0.0652,0.1042,1.0097,0.0953,normal
1.0237,-0.2368,-0.0037,1.0507,0.0410,normal
0.9399,-0.1958,-0.2407,0.9898,0.0609,normal
0.8643,-0.1428,-0.0652,0.8784,0.1114,normal
0.8127,-0.2061,0.6125,1.0384,0.1600,normal
0.4077,-0.0034,0.8999,0.9880,0.0504,normal
0.2610,0.0005,1.0701,1.1014,0.1135,normal
-0.5190,0.4004,0.8743,1.0927,0.0087,normal
-0.6462,0.3850,0.6733,1.0096,0.0832,normal
-0.7581,0.3677,0.6814,1.0836,0.0740,normal
-0.3713,-0.0408,0.7256,0.8161,0.2675,normal
-0.5344,-0.3245,0.9197,1.1121,0.2960,normal
-0.5696,-0.3955,0.8684,1.1113,0.0008,normal
-0.6770,-0.5427,0.6785,1.1015,0.0098,normal
-0.2791,-0.3811,0.5764,0.7452,0.3562,normal
-0.7634,-0.5171,0.3896,1.0010,0.2558,normal
-0.8406,-0.5410,0.6213,1.1770,0.1760,normal
-0.6570,-0.4827,0.9944,1.2858,0.1088,normal
-0.2271,-0.3638,1.1580,1.2348,0.0510,normal
0.3018,0.1030,0.8406,0.8990,0.3358,normal
0.4194,0.2339,0.5493,0.7296,0.1694,normal
0.8228,0.2312,0.0393,0.8555,0.1259,normal
0.8662,0.3801,-0.2920,0.9900,0.1345,normal
0.8118,0.5354,-0.0750,0.9753,0.0147,normal
0.5574,0.6379,0.3262,0.9078,0.0676,normal
0.2207,0.6936,0.7378,1.0364,0.1286,normal
-0.1426,0.7427,0.9731,1.2324,0.1960,normal
-0.3250,0.6592,0.7849,1.0753,0.1572,normal
-0.2942,0.2454,1.0518,1.1193,0.0441,normal
-0.0415,0.1953,0.9277,0.9490,0.1704,normal
0.0271,0.0391,1.0020,1.0031,0.0541,normal
0.1152,-0.0984,0.7754,0.7901,0.2130,normal
0.1462,-0.0627,0.9192,0.9329,0.1428,normal
0.2839,0.0281,0.9468,0.9888,0.0560,normal
0.4155,-0.0232,0.9092,0.9999,0.0111,normal
0.4514,0.0598,0.9072,1.0151,0.0152,normal
0.5386,0.2114,0.8594,1.0360,0.0209,normal
0.5530,0.2827,1.0042,1.1807,0.1447,normal
0.6467,0.3357,0.6455,0.9735,0.2072,normal
0.5330,0.6270,0.5596,0.9951,0.0216,normal
0.2856,0.6436,0.4338,0.8270,0.1681,normal
-0.0603,0.7747,0.2771,0.8249,0.0021,normal
-0.2585,0.8848,0.2534,0.9560,0.1310,normal
-0.4402,0.7852,0.2241,0.9276,0.0284,normal
-0.2964,0.7625,0.3645,0.8956,0.0320,normal
0.0002,0.6694,0.7610,1.0135,0.1180,normal
-0.1252,0.2588,0.7830,0.8341,0.1795,normal
-0.2515,0.2556,0.8711,0.9420,0.1079,normal
-0.3218,0.1287,0.7800,0.8535,0.0885,normal
-0.5686,0.0078,0.7954,0.9778,0.1242,normal
-0.5564,0.0308,0.8689,1.0322,0.0545,normal
-0.4602,-0.0293,0.9719,1.0758,0.0435,normal
-0.6160,-0.1372,0.7358,0.9694,0.1064,normal
-0.6689,-0.3564,0.9551,1.2193,0.2499,normal
-0.4861,-0.3723,0.7239,0.9481,0.2712,normal
-0.2603,-0.2561,0.9866,1.0520,0.1039,normal
0.0293,-0.1729,0.9736,0.9893,0.0627,normal
0.0928,-0.2302,1.0183,1.0481,0.0588,normal
-0.1438,-0.1860,1.0476,1.0737,0.0255,normal
0.6133,0.0952,0.6455,0.8955,0.1782,normal
0.5320,0.0320,0.7288,0.9028,0.0074,normal
0.6309,0.3035,0.4753,0.8462,0.0567,normal
0.4216,0.4902,0.3333,0.7274,0.1187,normal
0.4507,0.6245,0.6250,0.9918,0.2644,normal
0.0510,0.6504,0.5142,0.8306,0.1612,normal
-0.3108,0.8369,0.5854,1.0676,0.2370,normal
-0.6511,0.6899,0.2878,0.9914,0.0762,normal
-0.8252,0.4587,-0.0237,0.9444,0.0469,normal
-0.9819,0.3701,-0.0032,1.0494,0.1049,normal
-0.7891,0.1482,-0.2285,0.8347,0.2146,normal
-0.8806,0.2070,0.0107,0.9047,0.0699,normal
-0.8665,0.4253,0.2761,1.0039,0.0992,normal
-0.6648,0.6816,0.5515,1.1003,0.0964,normal
-0.2927,0.8320,0.5630,1.0464,0.0540,normal
-0.0061,0.8269,0.4685,0.9504,0.0960,normal
0.0833,0.7400,0.7417,1.0510,0.1006,normal
0.2551,0.5986,0.9573,1.1575,0.1065,normal
0.3464,0.4404,1.2744,1.3922,0.2347,normal
0.4331,0.3062,0.7478,0.9168,0.4754,normal
0.5396,0.4058,0.7388,1.0008,0.0840,normal
0.2930,0.5105,0.7297,0.9375,0.0632,normal
0.1914,0.5825,0.7114,0.9392,0.0017,normal
0.1545,0.6543,0.7913,1.0383,0.0991,normal
-0.1501,0.1470,0.6863,0.7177,0.3206,normal
0.6401,0.0146,0.3730,0.7410,0.0233,normal
0.7048,-0.4646,1.0608,1.3557,0.6147,normal
0.7432,-0.3010,1.2844,1.5142,0.1585,normal
0.0618,0.2214,0.6602,0.6990,0.8151,normal
0.0593,1.1094,0.2373,1.1360,0.4370,normal
0.0330,0.6565,0.5413,0.8515,0.2845,normal
-0.3887,0.0220,0.5117,0.6430,0.2085,normal
0.0186,0.0745,1.1873,1.1897,0.5468,normal
-0.3423,-0.1213,1.1775,1.2322,0.0425,normal
-0.0005,-0.0134,1.2468,1.2469,0.0147,normal
-0.2849,0.4800,0.8831,1.0447,0.2022,normal
-0.0740,0.4749,0.5156,0.7049,0.3398,normal
-0.1409,0.6104,0.8521,1.0575,0.3527,normal
-0.3994,0.7417,1.0522,1.3479,0.2904,normal
-0.2644,0.7893,0.9812,1.2867,0.0612,normal
-0.1926,0.5374,0.1191,0.5831,0.7036,normal
-0.2988,0.6843,0.0208,0.7470,0.1639,normal
-0.2378,0.3955,0.1841,0.4968,0.2502,normal
0.0835,0.8020,0.8125,1.1447,0.6479,normal
-0.1006,0.7683,0.6570,1.0159,0.1288,normal
-0.2791,0.5789,0.5229,0.8285,0.1874,normal
-0.2517,0.7229,0.1521,0.7804,0.0481,normal
-0.5698,0.5789,-0.0312,0.8129,0.0324,normal
-0.6348,0.7178,0.0085,0.9582,0.1454,normal
-0.9456,0.4355,0.1370,1.0500,0.0918,normal
-1.0532,0.0664,0.2195,1.0779,0.0279,normal
-0.9236,0.1946,0.1868,0.9622,0.1157,normal
-0.9502,0.3896,0.2080,1.0478,0.0857,normal
-0.8276,0.6189,0.4124,1.1127,0.0648,normal
-0.5967,0.7917,0.2876,1.0323,0.0804,normal
-0.1877,1.0483,0.3914,1.1346,0.1024,normal
-0.2319,0.5759,0.3894,0.7329,0.4018,normal
-0.1575,0.6321,0.3911,0.7598,0.0269,normal
-0.3823,0.6899,0.5789,0.9784,0.2186,normal
-0.0696,0.6499,1.0430,1.2309,0.2525,normal
0.0366,0.1721,0.8706,0.8882,0.3426,normal
0.2485,0.1895,0.9607,1.0102,0.1220,normal
0.2703,0.0117,0.8730,0.9140,0.0962,normal
0.0410,0.0403,0.6577,0.6602,0.2538,normal
0.2200,-0.2788,1.0586,1.1166,0.4564,normal
0.1284,-0.4573,0.9558,1.0673,0.0493,normal
0.3059,-0.3848,0.9893,1.1047,0.0373,normal
0.3860,-0.3567,1.0063,1.1353,0.0307,normal
0.1545,0.0647,0.9856,0.9997,0.1356,normal
-0.0676,-0.0913,0.9846,0.9912,0.0086,normal
-0.0498,-0.2764,0.7490,0.7999,0.1912,normal
0.1577,0.1997,1.1228,1.1513,0.3513,normal
0.0955,0.5403,0.7134,0.9000,0.2513,normal
-0.1560,0.5505,0.4832,0.7489,0.1510,normal
-0.4778,0.7146,0.2056,0.8838,0.1349,normal
-0.3994,1.0654,0.2522,1.1655,0.2816,normal
-0.5581,0.7615,0.2969,0.9897,0.1758,normal
-0.7146,0.4875,0.3359,0.9280,0.0617,normal
-0.6772,0.5161,0.2644,0.8916,0.0364,normal
-0.6521,0.9526,0.7085,1.3545,0.4629,normal
-0.6306,0.5640,0.5291,0.9978,0.3567,normal
-0.0420,1.0540,0.2246,1.0784,0.0806,normal
0.0112,0.6819,0.2642,0.7314,0.3471,normal
-0.1260,0.6670,0.6865,0.9654,0.2341,normal
-0.1436,0.3730,0.8560,0.9447,0.0207,normal
0.0691,0.3982,0.9399,1.0231,0.0785,normal
0.1484,0.0530,0.7830,0.7987,0.2245,normal
0.1155,-0.1477,0.8269,0.8479,0.0492,normal
-0.0540,-0.3831,1.0671,1.1351,0.2872,normal
0.1323,-0.3977,0.9905,1.0755,0.0596,normal
0.3040,-0.3035,1.0969,1.1780,0.1025,normal
0.1987,-0.1096,1.0916,1.1149,0.0631,normal
0.1628,0.1555,1.0701,1.0935,0.0214,normal
0.2588,0.2759,0.9326,1.0064,0.0871,normal
-0.1248,0.5952,0.6890,0.9190,0.0874,normal
-0.3914,0.6499,0.5571,0.9412,0.0223,normal
-0.4292,0.7092,0.3562,0.9023,0.0390,normal
-0.7385,0.5078,0.3564,0.9645,0.0623,normal
-0.7297,0.4531,0.5149,1.0015,0.0369,normal
-1.0681,0.1782,0.3958,1.1529,0.1515,normal
-0.7974,0.1921,0.2200,0.8492,0.3038,normal
-0.7791,0.3723,0.7834,1.1659,0.3167,normal
-0.9668,0.4941,0.9309,1.4302,0.2643,normal
-0.6096,0.5190,0.4058,0.8976,0.5326,normal
-0.1963,0.5789,0.5281,0.8078,0.0898,normal
-0.0291,0.7146,0.9651,1.2012,0.3934,normal
-0.1223,0.5935,1.0146,1.1818,0.0194,normal
-0.1570,0.3098,0.7441,0.8212,0.3606,normal
-0.2991,0.3630,0.8198,0.9452,0.1240,normal
-0.1602,0.2371,1.0024,1.0425,0.0973,normal
0.0125,0.1724,1.2192,1.2314,0.1890,normal
0.0754,-0.0879,1.0132,1.0198,0.2116,normal
0.1140,-0.1204,1.1306,1.1427,0.1229,normal
0.4653,-0.1594,0.6255,0.7957,0.3470,normal
0.4429,-0.0061,0.6572,0.7925,0.0032,normal
0.5159,-0.5310,0.5037,0.8954,0.1029,normal
0.5120,-0.9065,0.4543,1.1359,0.2405,normal
